filepath,filename,client_id,project_id,chunk_index,reason,file_fingerprint,assign_method,assign_confidence
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/orderbevestigingen/5_Orderbevestiging_C008.pdf,5_Orderbevestiging_C008.pdf,C008,UNKNOWN,,no_text_ocr_needed,504fd022b268b6ecb2cbe43871f5b7be31a88e2e,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/orderbevestigingen/5_Orderbevestiging_C009.pdf,5_Orderbevestiging_C009.pdf,C009,UNKNOWN,,no_text_ocr_needed,ff48c1683ec7e50b7f5a4bb576915511d4717fe9,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/orderbevestigingen/5_Orderbevestiging_C010.pdf,5_Orderbevestiging_C010.pdf,C010,UNKNOWN,,no_text_ocr_needed,64371aac81a4c980cd9c1d58c4d54fa492953b12,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/1_Technische_omschrijving_C001.pdf,1_Technische_omschrijving_C001.pdf,C001,UNKNOWN,,no_text_ocr_needed,973f5a6cb585e7234b716d7cd73004a4772a7d34,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/1_Technische_omschrijving_C002.pdf,1_Technische_omschrijving_C002.pdf,C002,UNKNOWN,,no_text_ocr_needed,007bb731679d42ddaccab3bb48909bc31292603b,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/1_Technische_omschrijving_C003.pdf,1_Technische_omschrijving_C003.pdf,C003,UNKNOWN,,no_text_ocr_needed,0c876485bed1f4b86cba4043fefc18d9dc128938,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/1_Technische_omschrijving_C004.pdf,1_Technische_omschrijving_C004.pdf,C004,UNKNOWN,,no_text_ocr_needed,1140580acccd774398f8ea3e9fb5123231cc4aa6,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/1_Technische_omschrijving_C005.pdf,1_Technische_omschrijving_C005.pdf,C005,UNKNOWN,,no_text_ocr_needed,5c38edd53c782b10dd25832ae4aeebc4c97cad31,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/1_Technische_omschrijving_C006.pdf,1_Technische_omschrijving_C006.pdf,C006,UNKNOWN,,no_text_ocr_needed,62c0f20ae7be000e9fdd774a9852380deeae4235,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/1_Technische_omschrijving_C007.pdf,1_Technische_omschrijving_C007.pdf,C007,UNKNOWN,,no_text_ocr_needed,67c646e8562250ff351b8ed440faa82d377f2f3b,filename_or_meta,0.2
